seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.0,0.74
0,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.0,0.675
0,64,1,260000,200,100,0.95,LR,LR,1,BP,800,0.0,0.39
0,64,1,260000,200,100,0.95,LR,LR,1,BP,1000,0.0,0.0
0,64,1,260000,200,100,0.95,LR,LR,1,BP,1200,0.0,0.805
0,64,1,260000,200,100,0.95,LR,LR,1,BP,1400,0.0,0.14
0,64,1,260000,200,100,0.95,LR,LR,1,BP,1600,0.0,0.645
0,64,1,260000,200,100,0.95,LR,LR,1,BP,1800,0.0,0.195
0,64,1,260000,200,100,0.95,LR,LR,1,BP,2000,0.0,0.885
0,64,1,260000,200,100,0.95,LR,LR,1,BP,2200,0.0,0.265
0,64,1,260000,200,100,0.95,LR,LR,1,BP,2400,0.0,0.845
0,64,1,260000,200,100,0.95,LR,LR,1,BP,2600,0.0,0.015
0,64,1,260000,200,100,0.95,LR,LR,1,BP,2800,0.0,0.51
0,64,1,260000,200,100,0.95,LR,LR,1,BP,3000,0.0,0.035
0,64,1,260000,200,100,0.95,LR,LR,1,BP,3200,0.0,0.745
0,64,1,260000,200,100,0.95,LR,LR,1,BP,3400,0.0,0.16
0,64,1,260000,200,100,0.95,LR,LR,1,BP,3600,0.01,0.015
0,64,1,260000,200,100,0.95,LR,LR,1,BP,3800,0.0,0.865
0,64,1,260000,200,100,0.95,LR,LR,1,BP,4000,0.0,0.425
0,64,1,260000,200,100,0.95,LR,LR,1,BP,4200,0.105,0.34
0,64,1,260000,200,100,0.95,LR,LR,1,BP,4400,0.1,0.5
0,64,1,260000,200,100,0.95,LR,LR,1,BP,4600,0.055,0.165
0,64,1,260000,200,100,0.95,LR,LR,1,BP,4800,0.0,0.06
0,64,1,260000,200,100,0.95,LR,LR,1,BP,5000,0.0,0.815
0,64,1,260000,200,100,0.95,LR,LR,1,BP,5200,0.055,0.17
0,64,1,260000,200,100,0.95,LR,LR,1,BP,5400,0.0,0.18
0,64,1,260000,200,100,0.95,LR,LR,1,BP,5600,0.0,0.025
0,64,1,260000,200,100,0.95,LR,LR,1,BP,5800,0.0,0.995
1,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.0,0.735
1,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.0,0.195
1,64,1,260000,200,100,0.95,LR,LR,1,BP,800,0.035,0.755
1,64,1,260000,200,100,0.95,LR,LR,1,BP,1000,0.05,0.315
1,64,1,260000,200,100,0.95,LR,LR,1,BP,1200,0.055,0.285
1,64,1,260000,200,100,0.95,LR,LR,1,BP,1400,0.0,0.955
2,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.0,0.49
2,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.0,0.73
2,64,1,260000,200,100,0.95,LR,LR,1,BP,800,0.0,0.615
2,64,1,260000,200,100,0.95,LR,LR,1,BP,1000,0.0,0.605
2,64,1,260000,200,100,0.95,LR,LR,1,BP,1200,0.0,0.215
2,64,1,260000,200,100,0.95,LR,LR,1,BP,1400,0.005,0.905
2,64,1,260000,200,100,0.95,LR,LR,1,BP,1600,0.0,0.965
3,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.0,0.06
3,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.0,0.97
4,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.0,0.26
4,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.005,0.25
4,64,1,260000,200,100,0.95,LR,LR,1,BP,800,0.0,0.005
4,64,1,260000,200,100,0.95,LR,LR,1,BP,1000,0.0,0.28
4,64,1,260000,200,100,0.95,LR,LR,1,BP,1200,0.0,0.355
4,64,1,260000,200,100,0.95,LR,LR,1,BP,1400,0.0,0.305
4,64,1,260000,200,100,0.95,LR,LR,1,BP,1600,0.0,0.745
4,64,1,260000,200,100,0.95,LR,LR,1,BP,1800,0.005,0.25
4,64,1,260000,200,100,0.95,LR,LR,1,BP,2000,0.0,0.585
4,64,1,260000,200,100,0.95,LR,LR,1,BP,2200,0.005,0.66
4,64,1,260000,200,100,0.95,LR,LR,1,BP,2400,0.01,0.4
4,64,1,260000,200,100,0.95,LR,LR,1,BP,2600,0.055,0.07
4,64,1,260000,200,100,0.95,LR,LR,1,BP,2800,0.02,0.97
5,64,1,260000,200,100,0.95,LR,LR,1,BP,400,0.005,0.75
5,64,1,260000,200,100,0.95,LR,LR,1,BP,600,0.04,0.39
5,64,1,260000,200,100,0.95,LR,LR,1,BP,800,0.0,0.705
