seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,400,0.0,0.48
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,600,0.0,0.455
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,800,0.0,0.77
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,1000,0.0,0.68
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,1200,0.0,0.9
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,1400,0.0,0.895
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,1600,0.0,0.15
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,1800,0.0,0.475
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,2000,0.0,0.635
0,64,3,260000,200,100,0.95,MLP,LR,1,BP,2200,0.0,0.965
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,400,0.0,0.62
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,600,0.0,0.52
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,800,0.0,0.87
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,1000,0.0,0.915
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,1200,0.0,0.885
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,1400,0.0,0.21
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,1600,0.0,0.435
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,1800,0.0,0.275
1,64,3,260000,200,100,0.95,MLP,LR,1,BP,2000,0.0,0.96
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,400,0.0,0.555
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,600,0.0,0.34
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,800,0.0,0.56
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,1000,0.0,0.395
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,1200,0.0,0.755
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,1400,0.0,0.775
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,1600,0.0,0.895
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,1800,0.0,0.715
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,2000,0.0,0.825
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,2200,0.0,0.735
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,2400,0.0,0.505
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,2600,0.0,0.15
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,2800,0.0,0.39
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,3000,0.0,0.525
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,3200,0.0,0.595
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,3400,0.0,0.43
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,3600,0.0,0.855
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,3800,0.0,0.935
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,4000,0.0,0.585
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,4200,0.0,0.725
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,4400,0.0,0.685
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,4600,0.0,0.9
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,4800,0.0,0.895
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,5000,0.0,0.925
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,5200,0.0,0.74
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,5400,0.0,0.93
2,64,3,260000,200,100,0.95,MLP,LR,1,BP,5600,0.0,0.975
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,400,0.0,0.54
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,600,0.0,0.605
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,800,0.0,0.61
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,1000,0.0,0.845
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,1200,0.0,0.775
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,1400,0.0,0.44
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,1600,0.0,0.915
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,1800,0.0,0.435
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,2000,0.0,0.515
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,2200,0.0,0.795
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,2400,0.0,0.5
3,64,3,260000,200,100,0.95,MLP,LR,1,BP,2600,0.0,0.955
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,400,0.0,0.535
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,600,0.0,0.42
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,800,0.0,0.575
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,1000,0.0,0.75
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,1200,0.0,0.87
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,1400,0.0,0.705
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,1600,0.0,0.805
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,1800,0.0,0.76
4,64,3,260000,200,100,0.95,MLP,LR,1,BP,2000,0.0,0.73
