seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.605
0,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.56
0,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.105
0,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.975
1,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.48
1,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.745
1,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.99
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.465
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.935
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.36
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.67
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.715
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.005,0.45
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.005,0.88
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,0.49
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.86
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2200,0.0,0.86
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2400,0.0,0.575
2,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2600,0.0,0.95
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.125
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.015,0.275
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.005,0.83
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.545
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.56
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.9
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.025,0.03
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.04,0.32
3,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.99
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.39
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.625
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.945
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.85
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.465
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.115
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.525
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,0.305
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.465
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2200,0.0,0.385
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2400,0.0,0.27
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2600,0.0,0.54
4,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2800,0.005,1.0
5,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.015,0.275
5,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.965
6,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.655
6,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.96
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.64
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.505
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.87
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.42
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.775
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.865
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.04
7,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.005,0.995
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.72
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.005,0.695
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.68
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.925
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.12
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.52
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.865
8,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,0.995
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.285
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.725
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.395
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.325
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.3
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.595
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.92
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,0.93
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.775
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2200,0.0,0.815
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2400,0.0,0.445
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2600,0.01,0.065
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2800,0.0,0.315
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,3000,0.095,0.76
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,3200,0.0,0.41
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,3400,0.0,0.94
9,64,1,260000,200,100,0.95,MLP,MLP,1,BP,3600,0.0,0.99
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.415
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.405
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.015,0.745
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.4
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.01,0.75
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.08,0.295
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.055,0.1
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,0.83
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.84
10,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2200,0.0,1.0
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.715
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.905
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.915
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.75
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.515
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.005,0.72
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.52
11,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.0,1.0
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.725
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.255
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.075
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.23
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.69
12,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.99
13,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.005,0.375
13,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.505
13,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.895
13,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.97
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.145
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.4
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.905
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.005
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.0,0.0
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.0,0.005
14,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.0,0.965
15,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.255
15,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.505
15,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.96
16,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.19
16,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,1.0
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.27
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.715
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.87
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.005,0.43
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.005,0.485
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1400,0.025,0.44
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1600,0.03,0.255
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1800,0.015,0.505
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2000,0.0,0.875
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2200,0.005,0.44
17,64,1,260000,200,100,0.95,MLP,MLP,1,BP,2400,0.0,0.97
18,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.0,0.425
18,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.675
18,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.0,0.94
18,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.985
19,64,1,260000,200,100,0.95,MLP,MLP,1,BP,400,0.035,0.715
19,64,1,260000,200,100,0.95,MLP,MLP,1,BP,600,0.0,0.4
19,64,1,260000,200,100,0.95,MLP,MLP,1,BP,800,0.02,0.26
19,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1000,0.0,0.945
19,64,1,260000,200,100,0.95,MLP,MLP,1,BP,1200,0.005,0.965
