seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,400,0.0,0.905
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,600,0.0,0.42
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,800,0.0,0.64
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,1000,0.005,0.55
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,1200,0.0,0.65
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,1400,0.05,0.555
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,1600,0.055,0.515
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,1800,0.055,0.555
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,2000,0.1,0.56
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,2200,0.095,0.595
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,2400,0.1,0.315
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,2600,0.21,0.48
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,2800,0.165,0.6
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,3000,0.34,0.77
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,3200,0.37,0.75
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,3400,0.285,0.53
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,3600,0.075,0.73
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,3800,0.15,0.415
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,4000,0.26,0.56
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,4200,0.335,0.715
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,4400,0.28,0.475
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,4600,0.37,0.545
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,4800,0.44,0.645
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,5000,0.34,0.735
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,5200,0.435,0.745
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,5400,0.485,0.625
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,5600,0.63,0.785
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,5800,0.64,0.795
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,6000,0.615,0.84
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,6200,0.68,0.845
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,6400,0.56,0.765
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,6600,0.44,0.58
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,6800,0.595,0.745
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,7000,0.36,0.855
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,7200,0.54,0.72
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,7400,0.61,0.7
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,7600,0.555,0.695
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,7800,0.73,0.895
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,8000,0.67,0.825
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,8200,0.66,0.835
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,8400,0.535,0.63
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,8600,0.655,0.75
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,8800,0.745,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,9000,0.74,0.9
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,9200,0.705,0.895
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,9400,0.805,0.895
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,9600,0.79,0.93
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,9800,0.855,0.91
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,10000,0.745,0.91
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,10200,0.715,0.88
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,10400,0.75,0.85
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,10600,0.82,0.88
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,10800,0.73,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,11000,0.73,0.895
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,11200,0.675,0.855
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,11400,0.645,0.755
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,11600,0.775,0.86
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,11800,0.735,0.835
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,12000,0.65,0.835
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,12200,0.645,0.78
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,12400,0.77,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1,BSP,12600,0.775,0.945
