seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,400,0.0,0.79
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,600,0.0,0.8
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,800,0.005,0.32
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,1000,0.035,0.555
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,1200,0.04,0.595
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,1400,0.09,0.61
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,1600,0.095,0.66
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,1800,0.21,0.66
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,2000,0.225,0.685
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,2200,0.21,0.635
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,2400,0.185,0.565
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,2600,0.115,0.405
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,2800,0.46,0.72
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,3000,0.395,0.635
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,3200,0.385,0.755
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,3400,0.295,0.425
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,3600,0.49,0.595
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,3800,0.545,0.665
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,4000,0.6,0.81
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,4200,0.62,0.78
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,4400,0.505,0.685
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,4600,0.465,0.695
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,4800,0.665,0.84
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,5000,0.69,0.795
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,5200,0.755,0.88
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,5400,0.485,0.805
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,5600,0.48,0.685
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,5800,0.7,0.835
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,6000,0.66,0.855
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,6200,0.79,0.895
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,6400,0.765,0.83
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,6600,0.78,0.875
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,6800,0.745,0.86
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,7000,0.795,0.91
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,7200,0.665,0.88
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,7400,0.72,0.85
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,7600,0.71,0.83
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,7800,0.705,0.855
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,8000,0.63,0.81
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,8200,0.675,0.805
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,8400,0.765,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,8600,0.45,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,8800,0.75,0.915
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,9000,0.675,0.9
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,9200,0.815,0.84
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,9400,0.735,0.85
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,9600,0.835,0.93
0,64,1,1000000,200,100,0.95,LR,LR,1,RSP,9800,0.765,0.84
