seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,selective_CRPs,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.66
0,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.01,0.46
0,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.76
0,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.98
1,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.615
1,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,1.0
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.695
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.715
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.74
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.915
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.635
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.7
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.85
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1800,0.0,0.86
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2000,0.0,0.89
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2200,0.0,0.915
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2400,0.0,0.3
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2600,0.0,0.76
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2800,0.0,0.87
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,3000,0.0,0.93
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,3200,0.0,0.92
2,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,3400,0.0,0.96
3,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.205
3,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.4
3,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.795
3,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.76
3,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.95
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.565
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.865
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.615
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.915
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.735
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.655
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.225
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1800,0.0,0.79
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2000,0.0,0.885
4,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2200,0.0,0.955
5,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.015,0.45
5,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.925
5,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.895
5,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.98
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.585
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.765
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.89
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.71
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.86
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.885
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.935
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1800,0.0,0.94
6,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2000,0.0,0.955
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.35
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.28
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.695
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.87
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.915
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.345
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.68
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1800,0.0,0.865
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2000,0.0,0.93
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2200,0.0,0.945
7,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2400,0.0,0.965
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.62
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.325
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.275
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.43
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.395
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.6
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.605
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1800,0.0,0.37
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2000,0.005,0.4
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2200,0.0,0.78
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2400,0.0,0.24
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2600,0.015,0.385
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,2800,0.04,0.6
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,3000,0.0,0.92
8,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,3200,0.0,0.975
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.24
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.76
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.375
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.715
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.825
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.895
9,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.965
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,400,0.0,0.395
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,600,0.0,0.665
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,800,0.0,0.825
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1000,0.0,0.76
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1200,0.0,0.76
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1400,0.0,0.205
10,64,1,1000000,200,100,0.95,MLP,LR,1,RSP,1600,0.0,0.805
