seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,LR,5,400,0.0,0.595
0,64,1,1000000,200,100,0.95,LR,LR,5,600,0.0,0.625
0,64,1,1000000,200,100,0.95,LR,LR,5,800,0.0,0.65
0,64,1,1000000,200,100,0.95,LR,LR,5,1000,0.0,0.755
0,64,1,1000000,200,100,0.95,LR,LR,5,1200,0.0,0.64
0,64,1,1000000,200,100,0.95,LR,LR,5,1400,0.0,0.615
0,64,1,1000000,200,100,0.95,LR,LR,5,1600,0.0,0.335
0,64,1,1000000,200,100,0.95,LR,LR,5,1800,0.0,0.6
0,64,1,1000000,200,100,0.95,LR,LR,5,2000,0.0,0.535
0,64,1,1000000,200,100,0.95,LR,LR,5,2200,0.045,0.565
0,64,1,1000000,200,100,0.95,LR,LR,5,2400,0.0,0.155
0,64,1,1000000,200,100,0.95,LR,LR,5,2600,0.08,0.28
0,64,1,1000000,200,100,0.95,LR,LR,5,2800,0.015,0.795
0,64,1,1000000,200,100,0.95,LR,LR,5,3000,0.095,0.465
0,64,1,1000000,200,100,0.95,LR,LR,5,3200,0.175,0.505
0,64,1,1000000,200,100,0.95,LR,LR,5,3400,0.1,0.195
0,64,1,1000000,200,100,0.95,LR,LR,5,3600,0.2,0.57
0,64,1,1000000,200,100,0.95,LR,LR,5,3800,0.28,0.755
0,64,1,1000000,200,100,0.95,LR,LR,5,4000,0.295,0.59
0,64,1,1000000,200,100,0.95,LR,LR,5,4200,0.35,0.71
0,64,1,1000000,200,100,0.95,LR,LR,5,4400,0.18,0.335
0,64,1,1000000,200,100,0.95,LR,LR,5,4600,0.485,0.725
0,64,1,1000000,200,100,0.95,LR,LR,5,4800,0.515,0.78
0,64,1,1000000,200,100,0.95,LR,LR,5,5000,0.51,0.8
0,64,1,1000000,200,100,0.95,LR,LR,5,5200,0.555,0.74
0,64,1,1000000,200,100,0.95,LR,LR,5,5400,0.42,0.54
0,64,1,1000000,200,100,0.95,LR,LR,5,5600,0.5,0.755
0,64,1,1000000,200,100,0.95,LR,LR,5,5800,0.575,0.765
0,64,1,1000000,200,100,0.95,LR,LR,5,6000,0.56,0.765
0,64,1,1000000,200,100,0.95,LR,LR,5,6200,0.69,0.87
0,64,1,1000000,200,100,0.95,LR,LR,5,6400,0.465,0.685
0,64,1,1000000,200,100,0.95,LR,LR,5,6600,0.56,0.73
0,64,1,1000000,200,100,0.95,LR,LR,5,6800,0.65,0.85
0,64,1,1000000,200,100,0.95,LR,LR,5,7000,0.65,0.86
