seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,MLP,LR,5,400,0.0,0.845
0,64,1,1000000,200,100,0.95,MLP,LR,5,600,0.0,0.76
0,64,1,1000000,200,100,0.95,MLP,LR,5,800,0.0,0.635
0,64,1,1000000,200,100,0.95,MLP,LR,5,1000,0.0,0.9
0,64,1,1000000,200,100,0.95,MLP,LR,5,1200,0.0,0.335
0,64,1,1000000,200,100,0.95,MLP,LR,5,1400,0.0,0.985
0,64,1,1000000,200,100,0.95,MLP,LR,5,1600,0.0,0.635
0,64,1,1000000,200,100,0.95,MLP,LR,5,1800,0.0,0.47
0,64,1,1000000,200,100,0.95,MLP,LR,5,2000,0.05,0.55
0,64,1,1000000,200,100,0.95,MLP,LR,5,2200,0.07,0.995
0,64,1,1000000,200,100,0.95,MLP,LR,5,2400,0.0,0.995
0,64,1,1000000,200,100,0.95,MLP,LR,5,2600,0.01,0.935
0,64,1,1000000,200,100,0.95,MLP,LR,5,2800,0.0,0.89
0,64,1,1000000,200,100,0.95,MLP,LR,5,3000,0.0,0.995
0,64,1,1000000,200,100,0.95,MLP,LR,5,3200,0.01,0.2
0,64,1,1000000,200,100,0.95,MLP,LR,5,3400,0.055,0.285
0,64,1,1000000,200,100,0.95,MLP,LR,5,3600,0.0,0.505
0,64,1,1000000,200,100,0.95,MLP,LR,5,3800,0.0,0.97
0,64,1,1000000,200,100,0.95,MLP,LR,5,4000,0.0,0.8
0,64,1,1000000,200,100,0.95,MLP,LR,5,4200,0.0,0.975
0,64,1,1000000,200,100,0.95,MLP,LR,5,4400,0.0,0.855
0,64,1,1000000,200,100,0.95,MLP,LR,5,4600,0.0,1.0
0,64,1,1000000,200,100,0.95,MLP,LR,5,4800,0.0,0.975
0,64,1,1000000,200,100,0.95,MLP,LR,5,5000,0.11,0.7
0,64,1,1000000,200,100,0.95,MLP,LR,5,5200,0.0,1.0
0,64,1,1000000,200,100,0.95,MLP,LR,5,5400,0.0,0.995
0,64,1,1000000,200,100,0.95,MLP,LR,5,5600,0.0,0.99
0,64,1,1000000,200,100,0.95,MLP,LR,5,5800,0.0,0.045
0,64,1,1000000,200,100,0.95,MLP,LR,5,6000,0.0,0.715
0,64,1,1000000,200,100,0.95,MLP,LR,5,6200,0.0,0.94
0,64,1,1000000,200,100,0.95,MLP,LR,5,6400,0.0,0.945
0,64,1,1000000,200,100,0.95,MLP,LR,5,6600,0.0,0.94
0,64,1,1000000,200,100,0.95,MLP,LR,5,6800,0.0,0.9
0,64,1,1000000,200,100,0.95,MLP,LR,5,7000,0.0,0.985
0,64,1,1000000,200,100,0.95,MLP,LR,5,7200,0.0,0.955
0,64,1,1000000,200,100,0.95,MLP,LR,5,7400,0.0,0.98
0,64,1,1000000,200,100,0.95,MLP,LR,5,7600,0.005,0.24
0,64,1,1000000,200,100,0.95,MLP,LR,5,7800,0.0,0.835
0,64,1,1000000,200,100,0.95,MLP,LR,5,8000,0.29,0.325
0,64,1,1000000,200,100,0.95,MLP,LR,5,8200,0.0,0.67
0,64,1,1000000,200,100,0.95,MLP,LR,5,8400,0.035,0.635
0,64,1,1000000,200,100,0.95,MLP,LR,5,8600,0.0,0.66
0,64,1,1000000,200,100,0.95,MLP,LR,5,8800,0.0,0.54
0,64,1,1000000,200,100,0.95,MLP,LR,5,9000,0.0,0.94
0,64,1,1000000,200,100,0.95,MLP,LR,5,9200,0.0,0.985
0,64,1,1000000,200,100,0.95,MLP,LR,5,9400,0.0,0.845
0,64,1,1000000,200,100,0.95,MLP,LR,5,9600,0.0,0.965
