seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,100,0.95,MLP,MLP,5,400,0.0,0.465
0,64,2,1000000,200,100,0.95,MLP,MLP,5,600,0.0,0.68
0,64,2,1000000,200,100,0.95,MLP,MLP,5,800,0.0,0.715
0,64,2,1000000,200,100,0.95,MLP,MLP,5,1000,0.0,0.52
0,64,2,1000000,200,100,0.95,MLP,MLP,5,1200,0.0,0.84
0,64,2,1000000,200,100,0.95,MLP,MLP,5,1400,0.0,0.85
0,64,2,1000000,200,100,0.95,MLP,MLP,5,1600,0.0,0.73
0,64,2,1000000,200,100,0.95,MLP,MLP,5,1800,0.0,0.875
0,64,2,1000000,200,100,0.95,MLP,MLP,5,2000,0.0,0.395
0,64,2,1000000,200,100,0.95,MLP,MLP,5,2200,0.0,0.445
0,64,2,1000000,200,100,0.95,MLP,MLP,5,2400,0.0,0.405
0,64,2,1000000,200,100,0.95,MLP,MLP,5,2600,0.0,0.405
0,64,2,1000000,200,100,0.95,MLP,MLP,5,2800,0.0,0.435
0,64,2,1000000,200,100,0.95,MLP,MLP,5,3000,0.0,0.54
0,64,2,1000000,200,100,0.95,MLP,MLP,5,3200,0.0,0.385
0,64,2,1000000,200,100,0.95,MLP,MLP,5,3400,0.0,0.46
0,64,2,1000000,200,100,0.95,MLP,MLP,5,3600,0.0,0.555
0,64,2,1000000,200,100,0.95,MLP,MLP,5,3800,0.0,0.555
0,64,2,1000000,200,100,0.95,MLP,MLP,5,4000,0.0,0.03
0,64,2,1000000,200,100,0.95,MLP,MLP,5,4200,0.0,0.42
0,64,2,1000000,200,100,0.95,MLP,MLP,5,4400,0.0,0.49
0,64,2,1000000,200,100,0.95,MLP,MLP,5,4600,0.0,0.1
0,64,2,1000000,200,100,0.95,MLP,MLP,5,4800,0.0,0.45
0,64,2,1000000,200,100,0.95,MLP,MLP,5,5000,0.0,0.515
0,64,2,1000000,200,100,0.95,MLP,MLP,5,5200,0.0,0.515
0,64,2,1000000,200,100,0.95,MLP,MLP,5,5400,0.0,0.47
0,64,2,1000000,200,100,0.95,MLP,MLP,5,5600,0.0,0.115
0,64,2,1000000,200,100,0.95,MLP,MLP,5,5800,0.0,0.37
0,64,2,1000000,200,100,0.95,MLP,MLP,5,6000,0.0,0.415
0,64,2,1000000,200,100,0.95,MLP,MLP,5,6200,0.0,0.585
0,64,2,1000000,200,100,0.95,MLP,MLP,5,6400,0.0,0.63
