seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,100,0.95,LR,LR,400,0.0,0.605
0,64,2,1000000,200,100,0.95,LR,LR,600,0.0,0.65
0,64,2,1000000,200,100,0.95,LR,LR,800,0.0,0.705
0,64,2,1000000,200,100,0.95,LR,LR,1000,0.0,0.76
0,64,2,1000000,200,100,0.95,LR,LR,1200,0.005,0.425
0,64,2,1000000,200,100,0.95,LR,LR,1400,0.0,0.04
0,64,2,1000000,200,100,0.95,LR,LR,1600,0.005,0.23
0,64,2,1000000,200,100,0.95,LR,LR,1800,0.0,0.3
0,64,2,1000000,200,100,0.95,LR,LR,2000,0.0,0.245
0,64,2,1000000,200,100,0.95,LR,LR,2200,0.015,0.27
0,64,2,1000000,200,100,0.95,LR,LR,2400,0.0,0.395
0,64,2,1000000,200,100,0.95,LR,LR,2600,0.0,0.715
0,64,2,1000000,200,100,0.95,LR,LR,2800,0.02,0.18
0,64,2,1000000,200,100,0.95,LR,LR,3000,0.01,0.525
0,64,2,1000000,200,100,0.95,LR,LR,3200,0.005,0.675
0,64,2,1000000,200,100,0.95,LR,LR,3400,0.1,0.29
0,64,2,1000000,200,100,0.95,LR,LR,3600,0.03,0.36
0,64,2,1000000,200,100,0.95,LR,LR,3800,0.005,0.245
0,64,2,1000000,200,100,0.95,LR,LR,4000,0.015,0.285
0,64,2,1000000,200,100,0.95,LR,LR,4200,0.045,0.77
0,64,2,1000000,200,100,0.95,LR,LR,4400,0.105,0.39
0,64,2,1000000,200,100,0.95,LR,LR,4600,0.03,0.14
0,64,2,1000000,200,100,0.95,LR,LR,4800,0.0,0.075
0,64,2,1000000,200,100,0.95,LR,LR,5000,0.065,0.785
0,64,2,1000000,200,100,0.95,LR,LR,5200,0.04,0.675
0,64,2,1000000,200,100,0.95,LR,LR,5400,0.005,0.44
0,64,2,1000000,200,100,0.95,LR,LR,5600,0.015,0.015
0,64,2,1000000,200,100,0.95,LR,LR,5800,0.04,0.46
0,64,2,1000000,200,100,0.95,LR,LR,6000,0.075,0.435
0,64,2,1000000,200,100,0.95,LR,LR,6200,0.035,0.455
0,64,2,1000000,200,100,0.95,LR,LR,6400,0.0,0.44
0,64,2,1000000,200,100,0.95,LR,LR,6600,0.0,0.105
0,64,2,1000000,200,100,0.95,LR,LR,6800,0.0,0.77
0,64,2,1000000,200,100,0.95,LR,LR,7000,0.005,0.09
0,64,2,1000000,200,100,0.95,LR,LR,7200,0.0,0.27
0,64,2,1000000,200,100,0.95,LR,LR,7400,0.115,0.33
0,64,2,1000000,200,100,0.95,LR,LR,7600,0.02,0.34
0,64,2,1000000,200,100,0.95,LR,LR,7800,0.05,0.84
0,64,2,1000000,200,100,0.95,LR,LR,8000,0.07,0.455
0,64,2,1000000,200,100,0.95,LR,LR,8200,0.0,0.0
0,64,2,1000000,200,100,0.95,LR,LR,8400,0.025,0.14
0,64,2,1000000,200,100,0.95,LR,LR,8600,0.08,0.205
0,64,2,1000000,200,100,0.95,LR,LR,8800,0.105,0.17
0,64,2,1000000,200,100,0.95,LR,LR,9000,0.425,0.78
0,64,2,1000000,200,100,0.95,LR,LR,9200,0.17,0.3
0,64,2,1000000,200,100,0.95,LR,LR,9400,0.0,0.27
0,64,2,1000000,200,100,0.95,LR,LR,9600,0.23,0.695
0,64,2,1000000,200,100,0.95,LR,LR,9800,0.04,0.115
0,64,2,1000000,200,100,0.95,LR,LR,10000,0.13,0.36
0,64,2,1000000,200,100,0.95,LR,LR,10200,0.07,0.17
0,64,2,1000000,200,100,0.95,LR,LR,10400,0.185,0.515
0,64,2,1000000,200,100,0.95,LR,LR,10600,0.075,0.33
0,64,2,1000000,200,100,0.95,LR,LR,10800,0.015,0.525
0,64,2,1000000,200,100,0.95,LR,LR,11000,0.02,0.08
0,64,2,1000000,200,100,0.95,LR,LR,11200,0.285,0.52
0,64,2,1000000,200,100,0.95,LR,LR,11400,0.12,0.215
0,64,2,1000000,200,100,0.95,LR,LR,11600,0.095,0.23
0,64,2,1000000,200,100,0.95,LR,LR,11800,0.155,0.64
0,64,2,1000000,200,100,0.95,LR,LR,12000,0.05,0.18
0,64,2,1000000,200,100,0.95,LR,LR,12200,0.04,0.695
0,64,2,1000000,200,100,0.95,LR,LR,12400,0.225,0.405
0,64,2,1000000,200,100,0.95,LR,LR,12600,0.395,0.465
0,64,2,1000000,200,100,0.95,LR,LR,12800,0.43,0.48
0,64,2,1000000,200,100,0.95,LR,LR,13000,0.065,0.125
0,64,2,1000000,200,100,0.95,LR,LR,13200,0.01,0.03
0,64,2,1000000,200,100,0.95,LR,LR,13400,0.13,0.66
0,64,2,1000000,200,100,0.95,LR,LR,13600,0.105,0.42
0,64,2,1000000,200,100,0.95,LR,LR,13800,0.0,0.235
0,64,2,1000000,200,100,0.95,LR,LR,14000,0.0,0.355
0,64,2,1000000,200,100,0.95,LR,LR,14200,0.02,0.22
0,64,2,1000000,200,100,0.95,LR,LR,14400,0.01,0.02
0,64,2,1000000,200,100,0.95,LR,LR,14600,0.07,0.43
0,64,2,1000000,200,100,0.95,LR,LR,14800,0.025,0.495
0,64,2,1000000,200,100,0.95,LR,LR,15000,0.085,0.255
0,64,2,1000000,200,100,0.95,LR,LR,15200,0.055,0.065
0,64,2,1000000,200,100,0.95,LR,LR,15400,0.045,0.155
0,64,2,1000000,200,100,0.95,LR,LR,15600,0.075,0.385
0,64,2,1000000,200,100,0.95,LR,LR,15800,0.28,0.5
0,64,2,1000000,200,100,0.95,LR,LR,16000,0.05,0.15
0,64,2,1000000,200,100,0.95,LR,LR,16200,0.04,0.18
0,64,2,1000000,200,100,0.95,LR,LR,16400,0.35,0.625
0,64,2,1000000,200,100,0.95,LR,LR,16600,0.055,0.52
0,64,2,1000000,200,100,0.95,LR,LR,16800,0.095,0.185
0,64,2,1000000,200,100,0.95,LR,LR,17000,0.39,0.615
0,64,2,1000000,200,100,0.95,LR,LR,17200,0.5,0.575
0,64,2,1000000,200,100,0.95,LR,LR,17400,0.075,0.145
0,64,2,1000000,200,100,0.95,LR,LR,17600,0.195,0.34
0,64,2,1000000,200,100,0.95,LR,LR,17800,0.235,0.245
0,64,2,1000000,200,100,0.95,LR,LR,18000,0.17,0.375
0,64,2,1000000,200,100,0.95,LR,LR,18200,0.38,0.475
0,64,2,1000000,200,100,0.95,LR,LR,18400,0.095,0.63
0,64,2,1000000,200,100,0.95,LR,LR,18600,0.105,0.17
0,64,2,1000000,200,100,0.95,LR,LR,18800,0.16,0.475
0,64,2,1000000,200,100,0.95,LR,LR,19000,0.09,0.12
0,64,2,1000000,200,100,0.95,LR,LR,19200,0.1,0.235
0,64,2,1000000,200,100,0.95,LR,LR,19400,0.08,0.48
0,64,2,1000000,200,100,0.95,LR,LR,19600,0.18,0.365
0,64,2,1000000,200,100,0.95,LR,LR,19800,0.17,0.57
0,64,2,1000000,200,100,0.95,LR,LR,20000,0.215,0.355
0,64,2,1000000,200,100,0.95,LR,LR,20200,0.25,0.26
0,64,2,1000000,200,100,0.95,LR,LR,20400,0.12,0.19
0,64,2,1000000,200,100,0.95,LR,LR,20600,0.03,0.11
0,64,2,1000000,200,100,0.95,LR,LR,20800,0.0,0.025
0,64,2,1000000,200,100,0.95,LR,LR,21000,0.085,0.995
1,64,2,1000000,200,100,0.95,LR,LR,400,0.0,0.39
1,64,2,1000000,200,100,0.95,LR,LR,600,0.0,0.86
1,64,2,1000000,200,100,0.95,LR,LR,800,0.0,0.76
1,64,2,1000000,200,100,0.95,LR,LR,1000,0.0,0.565
1,64,2,1000000,200,100,0.95,LR,LR,1200,0.0,0.7
1,64,2,1000000,200,100,0.95,LR,LR,1400,0.01,0.13
1,64,2,1000000,200,100,0.95,LR,LR,1600,0.0,0.74
1,64,2,1000000,200,100,0.95,LR,LR,1800,0.0,0.64
1,64,2,1000000,200,100,0.95,LR,LR,2000,0.0,0.99
2,64,2,1000000,200,100,0.95,LR,LR,400,0.005,0.495
2,64,2,1000000,200,100,0.95,LR,LR,600,0.0,0.035
2,64,2,1000000,200,100,0.95,LR,LR,800,0.0,0.68
2,64,2,1000000,200,100,0.95,LR,LR,1000,0.0,0.935
2,64,2,1000000,200,100,0.95,LR,LR,1200,0.0,0.39
2,64,2,1000000,200,100,0.95,LR,LR,1400,0.02,0.21
2,64,2,1000000,200,100,0.95,LR,LR,1600,0.0,0.005
2,64,2,1000000,200,100,0.95,LR,LR,1800,0.005,0.28
2,64,2,1000000,200,100,0.95,LR,LR,2000,0.015,0.155
2,64,2,1000000,200,100,0.95,LR,LR,2200,0.01,0.085
2,64,2,1000000,200,100,0.95,LR,LR,2400,0.0,0.0
2,64,2,1000000,200,100,0.95,LR,LR,2600,0.015,0.23
2,64,2,1000000,200,100,0.95,LR,LR,2800,0.0,0.075
2,64,2,1000000,200,100,0.95,LR,LR,3000,0.08,0.4
2,64,2,1000000,200,100,0.95,LR,LR,3200,0.0,0.135
2,64,2,1000000,200,100,0.95,LR,LR,3400,0.03,0.6
2,64,2,1000000,200,100,0.95,LR,LR,3600,0.055,0.535
2,64,2,1000000,200,100,0.95,LR,LR,3800,0.005,0.49
2,64,2,1000000,200,100,0.95,LR,LR,4000,0.055,0.42
2,64,2,1000000,200,100,0.95,LR,LR,4200,0.0,0.15
2,64,2,1000000,200,100,0.95,LR,LR,4400,0.015,0.61
2,64,2,1000000,200,100,0.95,LR,LR,4600,0.005,0.205
2,64,2,1000000,200,100,0.95,LR,LR,4800,0.01,0.5
2,64,2,1000000,200,100,0.95,LR,LR,5000,0.0,0.355
2,64,2,1000000,200,100,0.95,LR,LR,5200,0.045,0.585
2,64,2,1000000,200,100,0.95,LR,LR,5400,0.02,0.09
2,64,2,1000000,200,100,0.95,LR,LR,5600,0.05,0.22
2,64,2,1000000,200,100,0.95,LR,LR,5800,0.12,0.33
2,64,2,1000000,200,100,0.95,LR,LR,6000,0.015,0.03
2,64,2,1000000,200,100,0.95,LR,LR,6200,0.2,0.355
2,64,2,1000000,200,100,0.95,LR,LR,6400,0.005,0.18
2,64,2,1000000,200,100,0.95,LR,LR,6600,0.005,0.05
2,64,2,1000000,200,100,0.95,LR,LR,6800,0.105,0.57
2,64,2,1000000,200,100,0.95,LR,LR,7000,0.175,0.635
2,64,2,1000000,200,100,0.95,LR,LR,7200,0.03,0.66
2,64,2,1000000,200,100,0.95,LR,LR,7400,0.095,0.425
2,64,2,1000000,200,100,0.95,LR,LR,7600,0.135,0.335
2,64,2,1000000,200,100,0.95,LR,LR,7800,0.165,0.675
2,64,2,1000000,200,100,0.95,LR,LR,8000,0.005,0.55
2,64,2,1000000,200,100,0.95,LR,LR,8200,0.025,0.43
2,64,2,1000000,200,100,0.95,LR,LR,8400,0.02,0.685
2,64,2,1000000,200,100,0.95,LR,LR,8600,0.205,0.525
2,64,2,1000000,200,100,0.95,LR,LR,8800,0.265,0.725
