seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.445
0,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.76
0,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.51
0,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.665
0,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.46
0,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.715
0,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.81
0,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.785
0,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.855
0,64,4,1000000,200,100,0.95,MLP,LR,2200,0.0,0.865
0,64,4,1000000,200,100,0.95,MLP,LR,2400,0.0,0.815
0,64,4,1000000,200,100,0.95,MLP,LR,2600,0.0,0.965
1,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.39
1,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.415
1,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.795
1,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.75
1,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.785
1,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.495
1,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.53
1,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.895
1,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.86
1,64,4,1000000,200,100,0.95,MLP,LR,2200,0.0,0.815
1,64,4,1000000,200,100,0.95,MLP,LR,2400,0.0,0.79
1,64,4,1000000,200,100,0.95,MLP,LR,2600,0.0,0.65
1,64,4,1000000,200,100,0.95,MLP,LR,2800,0.0,0.905
1,64,4,1000000,200,100,0.95,MLP,LR,3000,0.0,0.855
1,64,4,1000000,200,100,0.95,MLP,LR,3200,0.0,0.845
1,64,4,1000000,200,100,0.95,MLP,LR,3400,0.0,0.845
1,64,4,1000000,200,100,0.95,MLP,LR,3600,0.0,0.945
1,64,4,1000000,200,100,0.95,MLP,LR,3800,0.0,0.81
1,64,4,1000000,200,100,0.95,MLP,LR,4000,0.0,0.85
1,64,4,1000000,200,100,0.95,MLP,LR,4200,0.0,0.825
1,64,4,1000000,200,100,0.95,MLP,LR,4400,0.0,0.95
2,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.445
2,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.515
