seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,100,0.95,LR,MLP,400,0.0,0.37
0,64,2,1000000,200,100,0.95,LR,MLP,600,0.0,0.565
0,64,2,1000000,200,100,0.95,LR,MLP,800,0.0,0.49
0,64,2,1000000,200,100,0.95,LR,MLP,1000,0.0,0.58
0,64,2,1000000,200,100,0.95,LR,MLP,1200,0.005,0.52
0,64,2,1000000,200,100,0.95,LR,MLP,1400,0.0,0.205
0,64,2,1000000,200,100,0.95,LR,MLP,1600,0.005,0.46
0,64,2,1000000,200,100,0.95,LR,MLP,1800,0.0,0.385
0,64,2,1000000,200,100,0.95,LR,MLP,2000,0.0,0.67
0,64,2,1000000,200,100,0.95,LR,MLP,2200,0.015,0.275
0,64,2,1000000,200,100,0.95,LR,MLP,2400,0.0,0.57
0,64,2,1000000,200,100,0.95,LR,MLP,2600,0.0,0.56
0,64,2,1000000,200,100,0.95,LR,MLP,2800,0.02,0.405
0,64,2,1000000,200,100,0.95,LR,MLP,3000,0.01,0.6
0,64,2,1000000,200,100,0.95,LR,MLP,3200,0.005,0.42
0,64,2,1000000,200,100,0.95,LR,MLP,3400,0.1,0.29
0,64,2,1000000,200,100,0.95,LR,MLP,3600,0.03,0.68
0,64,2,1000000,200,100,0.95,LR,MLP,3800,0.005,0.61
0,64,2,1000000,200,100,0.95,LR,MLP,4000,0.015,0.51
0,64,2,1000000,200,100,0.95,LR,MLP,4200,0.045,0.835
0,64,2,1000000,200,100,0.95,LR,MLP,4400,0.105,0.265
0,64,2,1000000,200,100,0.95,LR,MLP,4600,0.03,0.68
0,64,2,1000000,200,100,0.95,LR,MLP,4800,0.0,0.305
0,64,2,1000000,200,100,0.95,LR,MLP,5000,0.065,0.645
0,64,2,1000000,200,100,0.95,LR,MLP,5200,0.04,0.5
0,64,2,1000000,200,100,0.95,LR,MLP,5400,0.005,0.29
0,64,2,1000000,200,100,0.95,LR,MLP,5600,0.015,0.675
0,64,2,1000000,200,100,0.95,LR,MLP,5800,0.04,0.52
0,64,2,1000000,200,100,0.95,LR,MLP,6000,0.075,0.675
0,64,2,1000000,200,100,0.95,LR,MLP,6200,0.035,0.265
0,64,2,1000000,200,100,0.95,LR,MLP,6400,0.0,0.775
0,64,2,1000000,200,100,0.95,LR,MLP,6600,0.0,0.765
0,64,2,1000000,200,100,0.95,LR,MLP,6800,0.0,0.885
0,64,2,1000000,200,100,0.95,LR,MLP,7000,0.005,0.625
0,64,2,1000000,200,100,0.95,LR,MLP,7200,0.0,0.655
0,64,2,1000000,200,100,0.95,LR,MLP,7400,0.115,0.52
0,64,2,1000000,200,100,0.95,LR,MLP,7600,0.02,0.235
0,64,2,1000000,200,100,0.95,LR,MLP,7800,0.05,0.615
0,64,2,1000000,200,100,0.95,LR,MLP,8000,0.07,0.635
0,64,2,1000000,200,100,0.95,LR,MLP,8200,0.0,0.695
0,64,2,1000000,200,100,0.95,LR,MLP,8400,0.025,0.54
0,64,2,1000000,200,100,0.95,LR,MLP,8600,0.08,0.61
0,64,2,1000000,200,100,0.95,LR,MLP,8800,0.105,0.75
0,64,2,1000000,200,100,0.95,LR,MLP,9000,0.425,0.77
0,64,2,1000000,200,100,0.95,LR,MLP,9200,0.17,0.495
0,64,2,1000000,200,100,0.95,LR,MLP,9400,0.0,0.315
0,64,2,1000000,200,100,0.95,LR,MLP,9600,0.23,0.435
0,64,2,1000000,200,100,0.95,LR,MLP,9800,0.04,0.795
0,64,2,1000000,200,100,0.95,LR,MLP,10000,0.13,0.415
0,64,2,1000000,200,100,0.95,LR,MLP,10200,0.07,0.145
0,64,2,1000000,200,100,0.95,LR,MLP,10400,0.185,0.375
0,64,2,1000000,200,100,0.95,LR,MLP,10600,0.075,0.48
0,64,2,1000000,200,100,0.95,LR,MLP,10800,0.015,0.48
0,64,2,1000000,200,100,0.95,LR,MLP,11000,0.02,0.44
0,64,2,1000000,200,100,0.95,LR,MLP,11200,0.285,0.605
0,64,2,1000000,200,100,0.95,LR,MLP,11400,0.12,0.49
0,64,2,1000000,200,100,0.95,LR,MLP,11600,0.095,0.125
0,64,2,1000000,200,100,0.95,LR,MLP,11800,0.155,0.83
0,64,2,1000000,200,100,0.95,LR,MLP,12000,0.05,0.28
0,64,2,1000000,200,100,0.95,LR,MLP,12200,0.04,0.725
0,64,2,1000000,200,100,0.95,LR,MLP,12400,0.225,0.44
0,64,2,1000000,200,100,0.95,LR,MLP,12600,0.395,0.51
0,64,2,1000000,200,100,0.95,LR,MLP,12800,0.43,0.555
0,64,2,1000000,200,100,0.95,LR,MLP,13000,0.065,0.425
0,64,2,1000000,200,100,0.95,LR,MLP,13200,0.01,0.505
0,64,2,1000000,200,100,0.95,LR,MLP,13400,0.13,0.435
0,64,2,1000000,200,100,0.95,LR,MLP,13600,0.105,0.65
