seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,4,1000000,200,100,0.95,MLP,MLP,400,0.0,0.57
0,64,4,1000000,200,100,0.95,MLP,MLP,600,0.0,0.665
0,64,4,1000000,200,100,0.95,MLP,MLP,800,0.0,0.28
0,64,4,1000000,200,100,0.95,MLP,MLP,1000,0.0,0.77
0,64,4,1000000,200,100,0.95,MLP,MLP,1200,0.0,0.47
0,64,4,1000000,200,100,0.95,MLP,MLP,1400,0.0,0.325
0,64,4,1000000,200,100,0.95,MLP,MLP,1600,0.0,0.165
0,64,4,1000000,200,100,0.95,MLP,MLP,1800,0.0,0.42
0,64,4,1000000,200,100,0.95,MLP,MLP,2000,0.0,0.435
0,64,4,1000000,200,100,0.95,MLP,MLP,2200,0.0,0.455
0,64,4,1000000,200,100,0.95,MLP,MLP,2400,0.0,0.815
0,64,4,1000000,200,100,0.95,MLP,MLP,2600,0.0,0.66
0,64,4,1000000,200,100,0.95,MLP,MLP,2800,0.0,0.21
0,64,4,1000000,200,100,0.95,MLP,MLP,3000,0.0,0.44
0,64,4,1000000,200,100,0.95,MLP,MLP,3200,0.0,0.345
0,64,4,1000000,200,100,0.95,MLP,MLP,3400,0.0,0.06
0,64,4,1000000,200,100,0.95,MLP,MLP,3600,0.0,0.32
0,64,4,1000000,200,100,0.95,MLP,MLP,3800,0.0,0.02
0,64,4,1000000,200,100,0.95,MLP,MLP,4000,0.0,0.35
0,64,4,1000000,200,100,0.95,MLP,MLP,4200,0.0,0.16
0,64,4,1000000,200,100,0.95,MLP,MLP,4400,0.0,0.145
0,64,4,1000000,200,100,0.95,MLP,MLP,4600,0.0,0.18
0,64,4,1000000,200,100,0.95,MLP,MLP,4800,0.0,0.87
0,64,4,1000000,200,100,0.95,MLP,MLP,5000,0.0,0.07
0,64,4,1000000,200,100,0.95,MLP,MLP,5200,0.0,0.37
0,64,4,1000000,200,100,0.95,MLP,MLP,5400,0.0,0.52
0,64,4,1000000,200,100,0.95,MLP,MLP,5600,0.0,0.615
0,64,4,1000000,200,100,0.95,MLP,MLP,5800,0.0,0.14
0,64,4,1000000,200,100,0.95,MLP,MLP,6000,0.0,0.375
0,64,4,1000000,200,100,0.95,MLP,MLP,6200,0.0,0.675
0,64,4,1000000,200,100,0.95,MLP,MLP,6400,0.0,0.53
0,64,4,1000000,200,100,0.95,MLP,MLP,6600,0.0,0.98
1,64,4,1000000,200,100,0.95,MLP,MLP,400,0.0,0.82
1,64,4,1000000,200,100,0.95,MLP,MLP,600,0.0,0.0
1,64,4,1000000,200,100,0.95,MLP,MLP,800,0.0,0.47
1,64,4,1000000,200,100,0.95,MLP,MLP,1000,0.0,0.2
1,64,4,1000000,200,100,0.95,MLP,MLP,1200,0.0,0.53
1,64,4,1000000,200,100,0.95,MLP,MLP,1400,0.0,0.22
1,64,4,1000000,200,100,0.95,MLP,MLP,1600,0.0,0.13
1,64,4,1000000,200,100,0.95,MLP,MLP,1800,0.0,0.12
1,64,4,1000000,200,100,0.95,MLP,MLP,2000,0.0,0.465
1,64,4,1000000,200,100,0.95,MLP,MLP,2200,0.0,0.655
1,64,4,1000000,200,100,0.95,MLP,MLP,2400,0.0,0.035
1,64,4,1000000,200,100,0.95,MLP,MLP,2600,0.0,0.775
1,64,4,1000000,200,100,0.95,MLP,MLP,2800,0.0,0.795
1,64,4,1000000,200,100,0.95,MLP,MLP,3000,0.0,0.87
1,64,4,1000000,200,100,0.95,MLP,MLP,3200,0.0,0.62
1,64,4,1000000,200,100,0.95,MLP,MLP,3400,0.0,0.295
1,64,4,1000000,200,100,0.95,MLP,MLP,3600,0.0,0.365
1,64,4,1000000,200,100,0.95,MLP,MLP,3800,0.0,0.04
1,64,4,1000000,200,100,0.95,MLP,MLP,4000,0.0,0.695
1,64,4,1000000,200,100,0.95,MLP,MLP,4200,0.0,0.005
1,64,4,1000000,200,100,0.95,MLP,MLP,4400,0.0,0.87
1,64,4,1000000,200,100,0.95,MLP,MLP,4600,0.0,0.62
1,64,4,1000000,200,100,0.95,MLP,MLP,4800,0.0,0.825
1,64,4,1000000,200,100,0.95,MLP,MLP,5000,0.0,0.83
1,64,4,1000000,200,100,0.95,MLP,MLP,5200,0.0,0.535
1,64,4,1000000,200,100,0.95,MLP,MLP,5400,0.0,0.765
