seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,3,1000000,200,100,0.95,both,LR,1,400,0.0,0.48
0,64,3,1000000,200,100,0.95,both,LR,1,600,0.0,0.48
0,64,3,1000000,200,100,0.95,both,LR,1,800,0.0,0.585
0,64,3,1000000,200,100,0.95,both,LR,1,1000,0.0,0.65
0,64,3,1000000,200,100,0.95,both,LR,1,1200,0.0,0.36
0,64,3,1000000,200,100,0.95,both,LR,1,1400,0.0,0.455
0,64,3,1000000,200,100,0.95,both,LR,1,1600,0.0,0.525
0,64,3,1000000,200,100,0.95,both,LR,1,1800,0.0,0.595
0,64,3,1000000,200,100,0.95,both,LR,1,2000,0.0,0.275
0,64,3,1000000,200,100,0.95,both,LR,1,2200,0.0,0.52
0,64,3,1000000,200,100,0.95,both,LR,1,2400,0.0,0.43
0,64,3,1000000,200,100,0.95,both,LR,1,2600,0.0,0.415
0,64,3,1000000,200,100,0.95,both,LR,1,2800,0.0,0.44
0,64,3,1000000,200,100,0.95,both,LR,1,3000,0.0,0.5
0,64,3,1000000,200,100,0.95,both,LR,1,3200,0.0,0.545
0,64,3,1000000,200,100,0.95,both,LR,1,3400,0.0,0.425
0,64,3,1000000,200,100,0.95,both,LR,1,3600,0.0,0.55
0,64,3,1000000,200,100,0.95,both,LR,1,3800,0.0,0.585
0,64,3,1000000,200,100,0.95,both,LR,1,4000,0.0,0.605
0,64,3,1000000,200,100,0.95,both,LR,1,4200,0.0,0.635
0,64,3,1000000,200,100,0.95,both,LR,1,4400,0.0,0.61
0,64,3,1000000,200,100,0.95,both,LR,1,4600,0.0,0.75
0,64,3,1000000,200,100,0.95,both,LR,1,4800,0.0,0.685
0,64,3,1000000,200,100,0.95,both,LR,1,5000,0.0,0.845
0,64,3,1000000,200,100,0.95,both,LR,1,5200,0.0,0.825
0,64,3,1000000,200,100,0.95,both,LR,1,5400,0.0,0.75
0,64,3,1000000,200,100,0.95,both,LR,1,5600,0.0,0.84
0,64,3,1000000,200,100,0.95,both,LR,1,5800,0.01,0.625
0,64,3,1000000,200,100,0.95,both,LR,1,6000,0.0,0.095
