seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,3,1000000,200,100,0.95,both,MLP,1,400,0.0,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,600,0.0,0.69
0,64,3,1000000,200,100,0.95,both,MLP,1,800,0.0,0.8
0,64,3,1000000,200,100,0.95,both,MLP,1,1000,0.0,0.655
0,64,3,1000000,200,100,0.95,both,MLP,1,1200,0.0,0.545
0,64,3,1000000,200,100,0.95,both,MLP,1,1400,0.0,0.655
0,64,3,1000000,200,100,0.95,both,MLP,1,1600,0.0,0.095
0,64,3,1000000,200,100,0.95,both,MLP,1,1800,0.0,0.44
0,64,3,1000000,200,100,0.95,both,MLP,1,2000,0.0,0.43
0,64,3,1000000,200,100,0.95,both,MLP,1,2200,0.0,0.125
0,64,3,1000000,200,100,0.95,both,MLP,1,2400,0.0,0.425
0,64,3,1000000,200,100,0.95,both,MLP,1,2600,0.0,0.32
0,64,3,1000000,200,100,0.95,both,MLP,1,2800,0.0,0.49
0,64,3,1000000,200,100,0.95,both,MLP,1,3000,0.0,0.4
0,64,3,1000000,200,100,0.95,both,MLP,1,3200,0.0,0.585
0,64,3,1000000,200,100,0.95,both,MLP,1,3400,0.0,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,3600,0.0,0.37
0,64,3,1000000,200,100,0.95,both,MLP,1,3800,0.0,0.335
0,64,3,1000000,200,100,0.95,both,MLP,1,4000,0.0,0.495
0,64,3,1000000,200,100,0.95,both,MLP,1,4200,0.0,0.595
0,64,3,1000000,200,100,0.95,both,MLP,1,4400,0.0,0.72
0,64,3,1000000,200,100,0.95,both,MLP,1,4600,0.0,0.8
0,64,3,1000000,200,100,0.95,both,MLP,1,4800,0.01,0.895
0,64,3,1000000,200,100,0.95,both,MLP,1,5000,0.015,0.875
0,64,3,1000000,200,100,0.95,both,MLP,1,5200,0.0,0.855
0,64,3,1000000,200,100,0.95,both,MLP,1,5400,0.0,0.865
0,64,3,1000000,200,100,0.95,both,MLP,1,5600,0.0,0.81
0,64,3,1000000,200,100,0.95,both,MLP,1,5800,0.0,0.83
0,64,3,1000000,200,100,0.95,both,MLP,1,6000,0.0,0.875
0,64,3,1000000,200,100,0.95,both,MLP,1,6200,0.0,0.905
0,64,3,1000000,200,100,0.95,both,MLP,1,6400,0.0,0.815
0,64,3,1000000,200,100,0.95,both,MLP,1,6600,0.0,0.9
0,64,3,1000000,200,100,0.95,both,MLP,1,6800,0.0,0.74
0,64,3,1000000,200,100,0.95,both,MLP,1,7000,0.0,0.73
0,64,3,1000000,200,100,0.95,both,MLP,1,7200,0.0,0.695
0,64,3,1000000,200,100,0.95,both,MLP,1,7400,0.005,0.54
0,64,3,1000000,200,100,0.95,both,MLP,1,7600,0.0,0.005
0,64,3,1000000,200,100,0.95,both,MLP,1,7800,0.0,0.355
0,64,3,1000000,200,100,0.95,both,MLP,1,8000,0.0,0.38
0,64,3,1000000,200,100,0.95,both,MLP,1,8200,0.0,0.38
0,64,3,1000000,200,100,0.95,both,MLP,1,8400,0.0,0.51
0,64,3,1000000,200,100,0.95,both,MLP,1,8600,0.0,0.47
0,64,3,1000000,200,100,0.95,both,MLP,1,8800,0.0,0.365
0,64,3,1000000,200,100,0.95,both,MLP,1,9000,0.065,0.55
0,64,3,1000000,200,100,0.95,both,MLP,1,9200,0.215,0.54
0,64,3,1000000,200,100,0.95,both,MLP,1,9400,0.0,0.05
0,64,3,1000000,200,100,0.95,both,MLP,1,9600,0.0,0.37
0,64,3,1000000,200,100,0.95,both,MLP,1,9800,0.0,0.41
0,64,3,1000000,200,100,0.95,both,MLP,1,10000,0.32,0.395
0,64,3,1000000,200,100,0.95,both,MLP,1,10200,0.27,0.2
0,64,3,1000000,200,100,0.95,both,MLP,1,10400,0.0,0.34
0,64,3,1000000,200,100,0.95,both,MLP,1,10600,0.09,0.435
0,64,3,1000000,200,100,0.95,both,MLP,1,10800,0.395,0.405
0,64,3,1000000,200,100,0.95,both,MLP,1,11000,0.415,0.385
0,64,3,1000000,200,100,0.95,both,MLP,1,11200,0.59,0.425
0,64,3,1000000,200,100,0.95,both,MLP,1,11400,0.43,0.27
0,64,3,1000000,200,100,0.95,both,MLP,1,11600,0.575,0.415
0,64,3,1000000,200,100,0.95,both,MLP,1,11800,0.595,0.41
0,64,3,1000000,200,100,0.95,both,MLP,1,12000,0.595,0.44
0,64,3,1000000,200,100,0.95,both,MLP,1,12200,0.685,0.465
0,64,3,1000000,200,100,0.95,both,MLP,1,12400,0.535,0.37
0,64,3,1000000,200,100,0.95,both,MLP,1,12600,0.585,0.33
0,64,3,1000000,200,100,0.95,both,MLP,1,12800,0.59,0.41
0,64,3,1000000,200,100,0.95,both,MLP,1,13000,0.615,0.47
0,64,3,1000000,200,100,0.95,both,MLP,1,13200,0.635,0.325
0,64,3,1000000,200,100,0.95,both,MLP,1,13400,0.44,0.395
0,64,3,1000000,200,100,0.95,both,MLP,1,13600,0.615,0.435
0,64,3,1000000,200,100,0.95,both,MLP,1,13800,0.695,0.45
0,64,3,1000000,200,100,0.95,both,MLP,1,14000,0.705,0.445
0,64,3,1000000,200,100,0.95,both,MLP,1,14200,0.73,0.475
0,64,3,1000000,200,100,0.95,both,MLP,1,14400,0.45,0.5
0,64,3,1000000,200,100,0.95,both,MLP,1,14600,0.685,0.435
0,64,3,1000000,200,100,0.95,both,MLP,1,14800,0.64,0.41
0,64,3,1000000,200,100,0.95,both,MLP,1,15000,0.695,0.42
0,64,3,1000000,200,100,0.95,both,MLP,1,15200,0.635,0.465
0,64,3,1000000,200,100,0.95,both,MLP,1,15400,0.545,0.54
0,64,3,1000000,200,100,0.95,both,MLP,1,15600,0.7,0.495
0,64,3,1000000,200,100,0.95,both,MLP,1,15800,0.72,0.485
0,64,3,1000000,200,100,0.95,both,MLP,1,16000,0.725,0.48
0,64,3,1000000,200,100,0.95,both,MLP,1,16200,0.785,0.46
0,64,3,1000000,200,100,0.95,both,MLP,1,16400,0.58,0.475
0,64,3,1000000,200,100,0.95,both,MLP,1,16600,0.72,0.525
0,64,3,1000000,200,100,0.95,both,MLP,1,16800,0.78,0.495
0,64,3,1000000,200,100,0.95,both,MLP,1,17000,0.775,0.47
0,64,3,1000000,200,100,0.95,both,MLP,1,17200,0.72,0.545
0,64,3,1000000,200,100,0.95,both,MLP,1,17400,0.52,0.455
0,64,3,1000000,200,100,0.95,both,MLP,1,17600,0.745,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,17800,0.735,0.495
0,64,3,1000000,200,100,0.95,both,MLP,1,18000,0.735,0.5
0,64,3,1000000,200,100,0.95,both,MLP,1,18200,0.77,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,18400,0.485,0.525
0,64,3,1000000,200,100,0.95,both,MLP,1,18600,0.705,0.415
0,64,3,1000000,200,100,0.95,both,MLP,1,18800,0.765,0.555
0,64,3,1000000,200,100,0.95,both,MLP,1,19000,0.74,0.515
0,64,3,1000000,200,100,0.95,both,MLP,1,19200,0.795,0.46
0,64,3,1000000,200,100,0.95,both,MLP,1,19400,0.33,0.5
0,64,3,1000000,200,100,0.95,both,MLP,1,19600,0.775,0.495
0,64,3,1000000,200,100,0.95,both,MLP,1,19800,0.7,0.465
0,64,3,1000000,200,100,0.95,both,MLP,1,20000,0.715,0.49
0,64,3,1000000,200,100,0.95,both,MLP,1,20200,0.78,0.515
0,64,3,1000000,200,100,0.95,both,MLP,1,20400,0.76,0.48
0,64,3,1000000,200,100,0.95,both,MLP,1,20600,0.69,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,20800,0.77,0.465
0,64,3,1000000,200,100,0.95,both,MLP,1,21000,0.835,0.48
0,64,3,1000000,200,100,0.95,both,MLP,1,21200,0.765,0.52
0,64,3,1000000,200,100,0.95,both,MLP,1,21400,0.82,0.46
0,64,3,1000000,200,100,0.95,both,MLP,1,21600,0.665,0.475
0,64,3,1000000,200,100,0.95,both,MLP,1,21800,0.785,0.515
0,64,3,1000000,200,100,0.95,both,MLP,1,22000,0.775,0.505
0,64,3,1000000,200,100,0.95,both,MLP,1,22200,0.805,0.515
0,64,3,1000000,200,100,0.95,both,MLP,1,22400,0.835,0.535
0,64,3,1000000,200,100,0.95,both,MLP,1,22600,0.72,0.535
0,64,3,1000000,200,100,0.95,both,MLP,1,22800,0.815,0.53
0,64,3,1000000,200,100,0.95,both,MLP,1,23000,0.78,0.535
0,64,3,1000000,200,100,0.95,both,MLP,1,23200,0.755,0.575
0,64,3,1000000,200,100,0.95,both,MLP,1,23400,0.835,0.585
