seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.725
0,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.81
0,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.71
0,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.595
0,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.71
0,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.68
0,64,1,1000000,200,100,0.95,MLP,MLP,1,1600,0.0,0.94
0,64,1,1000000,200,100,0.95,MLP,MLP,1,1800,0.0,0.935
0,64,1,1000000,200,100,0.95,MLP,MLP,1,2000,0.0,0.325
0,64,1,1000000,200,100,0.95,MLP,MLP,1,2200,0.0,0.64
0,64,1,1000000,200,100,0.95,MLP,MLP,1,2400,0.0,0.995
1,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.76
1,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.61
1,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.96
2,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.51
2,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.715
2,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.595
2,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.705
2,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.455
2,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.55
2,64,1,1000000,200,100,0.95,MLP,MLP,1,1600,0.0,0.645
2,64,1,1000000,200,100,0.95,MLP,MLP,1,1800,0.0,0.94
2,64,1,1000000,200,100,0.95,MLP,MLP,1,2000,0.0,0.995
3,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.5
3,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.83
3,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.88
3,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.835
3,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.88
3,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.98
4,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.585
4,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.515
4,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.53
4,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.89
4,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.435
4,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.715
4,64,1,1000000,200,100,0.95,MLP,MLP,1,1600,0.0,0.675
4,64,1,1000000,200,100,0.95,MLP,MLP,1,1800,0.0,0.96
5,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.335
5,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.455
5,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.77
5,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.83
5,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.845
5,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.45
5,64,1,1000000,200,100,0.95,MLP,MLP,1,1600,0.0,0.37
5,64,1,1000000,200,100,0.95,MLP,MLP,1,1800,0.0,0.75
5,64,1,1000000,200,100,0.95,MLP,MLP,1,2000,0.0,0.915
5,64,1,1000000,200,100,0.95,MLP,MLP,1,2200,0.0,0.625
5,64,1,1000000,200,100,0.95,MLP,MLP,1,2400,0.0,0.955
6,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.815
6,64,1,1000000,200,100,0.95,MLP,MLP,1,600,0.0,0.855
6,64,1,1000000,200,100,0.95,MLP,MLP,1,800,0.0,0.86
6,64,1,1000000,200,100,0.95,MLP,MLP,1,1000,0.0,0.79
6,64,1,1000000,200,100,0.95,MLP,MLP,1,1200,0.0,0.545
6,64,1,1000000,200,100,0.95,MLP,MLP,1,1400,0.0,0.98
7,64,1,1000000,200,100,0.95,MLP,MLP,1,400,0.0,0.67
