seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,1,0.95,LR,LR,1,400,0.515,0.505
0,64,2,1000000,200,1,0.95,LR,LR,1,600,0.41,0.48
0,64,2,1000000,200,1,0.95,LR,LR,1,800,0.58,0.565
0,64,2,1000000,200,1,0.95,LR,LR,1,1000,0.56,0.575
0,64,2,1000000,200,1,0.95,LR,LR,1,1200,0.63,0.535
0,64,2,1000000,200,1,0.95,LR,LR,1,1400,0.725,0.745
0,64,2,1000000,200,1,0.95,LR,LR,1,1600,0.8,0.8
0,64,2,1000000,200,1,0.95,LR,LR,1,1800,0.76,0.83
0,64,2,1000000,200,1,0.95,LR,LR,1,2000,0.77,0.85
0,64,2,1000000,200,1,0.95,LR,LR,1,2200,0.8,0.8
0,64,2,1000000,200,1,0.95,LR,LR,1,2400,0.865,0.885
0,64,2,1000000,200,1,0.95,LR,LR,1,2600,0.92,0.935
0,64,2,1000000,200,1,0.95,LR,LR,1,2800,0.915,0.92
0,64,2,1000000,200,1,0.95,LR,LR,1,3000,0.84,0.915
0,64,2,1000000,200,1,0.95,LR,LR,1,3200,0.89,0.905
0,64,2,1000000,200,1,0.95,LR,LR,1,3400,0.905,0.92
0,64,2,1000000,200,1,0.95,LR,LR,1,3600,0.97,0.94
0,64,2,1000000,200,1,0.95,LR,LR,1,3800,0.945,0.83
0,64,2,1000000,200,1,0.95,LR,LR,1,4000,0.925,0.915
0,64,2,1000000,200,1,0.95,LR,LR,1,4200,0.935,0.92
0,64,2,1000000,200,1,0.95,LR,LR,1,4400,0.965,0.95
1,64,2,1000000,200,1,0.95,LR,LR,1,400,0.52,0.51
1,64,2,1000000,200,1,0.95,LR,LR,1,600,0.545,0.51
1,64,2,1000000,200,1,0.95,LR,LR,1,800,0.63,0.485
1,64,2,1000000,200,1,0.95,LR,LR,1,1000,0.56,0.515
1,64,2,1000000,200,1,0.95,LR,LR,1,1200,0.6,0.525
1,64,2,1000000,200,1,0.95,LR,LR,1,1400,0.63,0.45
1,64,2,1000000,200,1,0.95,LR,LR,1,1600,0.71,0.595
1,64,2,1000000,200,1,0.95,LR,LR,1,1800,0.7,0.595
1,64,2,1000000,200,1,0.95,LR,LR,1,2000,0.725,0.565
1,64,2,1000000,200,1,0.95,LR,LR,1,2200,0.715,0.585
1,64,2,1000000,200,1,0.95,LR,LR,1,2400,0.85,0.78
1,64,2,1000000,200,1,0.95,LR,LR,1,2600,0.87,0.915
1,64,2,1000000,200,1,0.95,LR,LR,1,2800,0.905,0.86
1,64,2,1000000,200,1,0.95,LR,LR,1,3000,0.895,0.87
1,64,2,1000000,200,1,0.95,LR,LR,1,3200,0.915,0.885
1,64,2,1000000,200,1,0.95,LR,LR,1,3400,0.92,0.89
1,64,2,1000000,200,1,0.95,LR,LR,1,3600,0.95,0.915
1,64,2,1000000,200,1,0.95,LR,LR,1,3800,0.94,0.915
1,64,2,1000000,200,1,0.95,LR,LR,1,4000,0.92,0.88
1,64,2,1000000,200,1,0.95,LR,LR,1,4200,0.865,0.94
1,64,2,1000000,200,1,0.95,LR,LR,1,4400,0.945,0.94
1,64,2,1000000,200,1,0.95,LR,LR,1,4600,0.94,0.945
1,64,2,1000000,200,1,0.95,LR,LR,1,4800,0.95,0.915
1,64,2,1000000,200,1,0.95,LR,LR,1,5000,0.92,0.935
1,64,2,1000000,200,1,0.95,LR,LR,1,5200,0.955,0.945
1,64,2,1000000,200,1,0.95,LR,LR,1,5400,0.965,0.98
2,64,2,1000000,200,1,0.95,LR,LR,1,400,0.535,0.485
2,64,2,1000000,200,1,0.95,LR,LR,1,600,0.45,0.495
2,64,2,1000000,200,1,0.95,LR,LR,1,800,0.485,0.615
2,64,2,1000000,200,1,0.95,LR,LR,1,1000,0.51,0.58
2,64,2,1000000,200,1,0.95,LR,LR,1,1200,0.565,0.65
2,64,2,1000000,200,1,0.95,LR,LR,1,1400,0.54,0.65
2,64,2,1000000,200,1,0.95,LR,LR,1,1600,0.63,0.75
2,64,2,1000000,200,1,0.95,LR,LR,1,1800,0.695,0.7
2,64,2,1000000,200,1,0.95,LR,LR,1,2000,0.685,0.82
2,64,2,1000000,200,1,0.95,LR,LR,1,2200,0.77,0.81
2,64,2,1000000,200,1,0.95,LR,LR,1,2400,0.68,0.88
2,64,2,1000000,200,1,0.95,LR,LR,1,2600,0.855,0.925
2,64,2,1000000,200,1,0.95,LR,LR,1,2800,0.89,0.9
2,64,2,1000000,200,1,0.95,LR,LR,1,3000,0.865,0.815
2,64,2,1000000,200,1,0.95,LR,LR,1,3200,0.915,0.9
2,64,2,1000000,200,1,0.95,LR,LR,1,3400,0.93,0.92
2,64,2,1000000,200,1,0.95,LR,LR,1,3600,0.945,0.91
2,64,2,1000000,200,1,0.95,LR,LR,1,3800,0.9,0.91
