seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,3,1000000,200,1,0.95,LR,LR,1,400,0.495,0.545
0,64,3,1000000,200,1,0.95,LR,LR,1,600,0.505,0.53
0,64,3,1000000,200,1,0.95,LR,LR,1,800,0.6,0.48
0,64,3,1000000,200,1,0.95,LR,LR,1,1000,0.45,0.535
0,64,3,1000000,200,1,0.95,LR,LR,1,1200,0.52,0.435
0,64,3,1000000,200,1,0.95,LR,LR,1,1400,0.475,0.51
0,64,3,1000000,200,1,0.95,LR,LR,1,1600,0.48,0.575
0,64,3,1000000,200,1,0.95,LR,LR,1,1800,0.53,0.49
0,64,3,1000000,200,1,0.95,LR,LR,1,2000,0.455,0.525
0,64,3,1000000,200,1,0.95,LR,LR,1,2200,0.53,0.565
0,64,3,1000000,200,1,0.95,LR,LR,1,2400,0.53,0.455
0,64,3,1000000,200,1,0.95,LR,LR,1,2600,0.485,0.545
0,64,3,1000000,200,1,0.95,LR,LR,1,2800,0.525,0.52
0,64,3,1000000,200,1,0.95,LR,LR,1,3000,0.485,0.465
0,64,3,1000000,200,1,0.95,LR,LR,1,3200,0.54,0.595
0,64,3,1000000,200,1,0.95,LR,LR,1,3400,0.58,0.525
0,64,3,1000000,200,1,0.95,LR,LR,1,3600,0.53,0.535
0,64,3,1000000,200,1,0.95,LR,LR,1,3800,0.525,0.475
0,64,3,1000000,200,1,0.95,LR,LR,1,4000,0.495,0.46
0,64,3,1000000,200,1,0.95,LR,LR,1,4200,0.51,0.485
0,64,3,1000000,200,1,0.95,LR,LR,1,4400,0.53,0.495
0,64,3,1000000,200,1,0.95,LR,LR,1,4600,0.61,0.555
0,64,3,1000000,200,1,0.95,LR,LR,1,4800,0.535,0.485
0,64,3,1000000,200,1,0.95,LR,LR,1,5000,0.645,0.52
0,64,3,1000000,200,1,0.95,LR,LR,1,5200,0.55,0.495
0,64,3,1000000,200,1,0.95,LR,LR,1,5400,0.67,0.51
0,64,3,1000000,200,1,0.95,LR,LR,1,5600,0.7,0.505
0,64,3,1000000,200,1,0.95,LR,LR,1,5800,0.58,0.535
0,64,3,1000000,200,1,0.95,LR,LR,1,6000,0.595,0.48
0,64,3,1000000,200,1,0.95,LR,LR,1,6200,0.595,0.495
0,64,3,1000000,200,1,0.95,LR,LR,1,6400,0.945,0.435
0,64,3,1000000,200,1,0.95,LR,LR,1,6600,0.805,0.51
0,64,3,1000000,200,1,0.95,LR,LR,1,6800,0.92,0.52
