seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,1,0.95,MLP,LR,1,400,0.545,0.485
0,64,2,1000000,200,1,0.95,MLP,LR,1,600,0.55,0.575
0,64,2,1000000,200,1,0.95,MLP,LR,1,800,0.52,0.61
0,64,2,1000000,200,1,0.95,MLP,LR,1,1000,0.475,0.58
0,64,2,1000000,200,1,0.95,MLP,LR,1,1200,0.565,0.69
0,64,2,1000000,200,1,0.95,MLP,LR,1,1400,0.52,0.805
0,64,2,1000000,200,1,0.95,MLP,LR,1,1600,0.535,0.83
0,64,2,1000000,200,1,0.95,MLP,LR,1,1800,0.44,0.855
0,64,2,1000000,200,1,0.95,MLP,LR,1,2000,0.48,0.885
0,64,2,1000000,200,1,0.95,MLP,LR,1,2200,0.535,0.86
0,64,2,1000000,200,1,0.95,MLP,LR,1,2400,0.52,0.885
0,64,2,1000000,200,1,0.95,MLP,LR,1,2600,0.49,0.86
0,64,2,1000000,200,1,0.95,MLP,LR,1,2800,0.435,0.94
0,64,2,1000000,200,1,0.95,MLP,LR,1,3000,0.495,0.92
0,64,2,1000000,200,1,0.95,MLP,LR,1,3200,0.515,0.925
0,64,2,1000000,200,1,0.95,MLP,LR,1,3400,0.485,0.895
0,64,2,1000000,200,1,0.95,MLP,LR,1,3600,0.51,0.955
1,64,2,1000000,200,1,0.95,MLP,LR,1,400,0.545,0.53
1,64,2,1000000,200,1,0.95,MLP,LR,1,600,0.535,0.475
1,64,2,1000000,200,1,0.95,MLP,LR,1,800,0.465,0.545
1,64,2,1000000,200,1,0.95,MLP,LR,1,1000,0.555,0.605
1,64,2,1000000,200,1,0.95,MLP,LR,1,1200,0.515,0.51
1,64,2,1000000,200,1,0.95,MLP,LR,1,1400,0.575,0.52
1,64,2,1000000,200,1,0.95,MLP,LR,1,1600,0.515,0.595
1,64,2,1000000,200,1,0.95,MLP,LR,1,1800,0.56,0.575
1,64,2,1000000,200,1,0.95,MLP,LR,1,2000,0.535,0.675
1,64,2,1000000,200,1,0.95,MLP,LR,1,2200,0.58,0.605
1,64,2,1000000,200,1,0.95,MLP,LR,1,2400,0.54,0.66
1,64,2,1000000,200,1,0.95,MLP,LR,1,2600,0.545,0.675
1,64,2,1000000,200,1,0.95,MLP,LR,1,2800,0.54,0.81
1,64,2,1000000,200,1,0.95,MLP,LR,1,3000,0.54,0.695
1,64,2,1000000,200,1,0.95,MLP,LR,1,3200,0.565,0.88
1,64,2,1000000,200,1,0.95,MLP,LR,1,3400,0.53,0.865
1,64,2,1000000,200,1,0.95,MLP,LR,1,3600,0.5,0.935
1,64,2,1000000,200,1,0.95,MLP,LR,1,3800,0.51,0.905
1,64,2,1000000,200,1,0.95,MLP,LR,1,4000,0.56,0.925
1,64,2,1000000,200,1,0.95,MLP,LR,1,4200,0.54,0.915
1,64,2,1000000,200,1,0.95,MLP,LR,1,4400,0.505,0.76
1,64,2,1000000,200,1,0.95,MLP,LR,1,4600,0.515,0.945
1,64,2,1000000,200,1,0.95,MLP,LR,1,4800,0.49,0.945
1,64,2,1000000,200,1,0.95,MLP,LR,1,5000,0.535,0.935
1,64,2,1000000,200,1,0.95,MLP,LR,1,5200,0.545,0.94
1,64,2,1000000,200,1,0.95,MLP,LR,1,5400,0.55,0.95
2,64,2,1000000,200,1,0.95,MLP,LR,1,400,0.47,0.48
2,64,2,1000000,200,1,0.95,MLP,LR,1,600,0.515,0.595
2,64,2,1000000,200,1,0.95,MLP,LR,1,800,0.47,0.615
2,64,2,1000000,200,1,0.95,MLP,LR,1,1000,0.485,0.635
2,64,2,1000000,200,1,0.95,MLP,LR,1,1200,0.52,0.56
2,64,2,1000000,200,1,0.95,MLP,LR,1,1400,0.54,0.68
2,64,2,1000000,200,1,0.95,MLP,LR,1,1600,0.465,0.785
2,64,2,1000000,200,1,0.95,MLP,LR,1,1800,0.475,0.805
2,64,2,1000000,200,1,0.95,MLP,LR,1,2000,0.52,0.84
