seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.74,0.78
0,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.8,0.76
0,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.675,0.84
0,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.83,0.58
0,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.825,0.82
0,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.885,0.9
0,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.89,0.9
0,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.92,0.935
0,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.845,0.555
0,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.885,0.67
0,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.925,0.965
1,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.715,0.595
1,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.745,0.545
1,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.63,0.765
1,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.76,0.715
1,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.78,0.805
1,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.875,0.82
1,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.845,0.565
1,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.895,0.905
1,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.835,0.725
1,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.875,0.89
1,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.92,0.75
1,64,1,1000000,200,1,0.95,LR,MLP,1,2600,0.92,0.615
1,64,1,1000000,200,1,0.95,LR,MLP,1,2800,0.955,0.62
1,64,1,1000000,200,1,0.95,LR,MLP,1,3000,0.93,0.955
2,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.78,0.735
2,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.565,0.75
2,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.69,0.775
2,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.805,0.565
2,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.78,0.78
2,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.885,0.87
2,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.86,0.53
2,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.865,0.455
2,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.9,0.9
2,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.9,0.905
2,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.925,0.96
3,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.52,0.53
3,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.86,0.775
3,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.865,0.78
3,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.635,0.805
3,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.845,0.76
3,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.885,0.505
3,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.93,0.89
3,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.925,0.89
3,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.895,0.825
3,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.905,0.915
3,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.945,0.97
4,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.76,0.43
4,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.775,0.68
4,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.815,0.76
4,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.795,0.51
4,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.755,0.82
4,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.89,0.495
4,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.865,0.905
4,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.885,0.92
4,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.845,0.66
4,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.895,0.92
4,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.9,0.94
4,64,1,1000000,200,1,0.95,LR,MLP,1,2600,0.925,0.955
5,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.645,0.615
5,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.695,0.51
5,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.71,0.83
5,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.885,0.49
5,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.645,0.775
5,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.93,0.79
5,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.885,0.89
5,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.91,0.945
5,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.935,0.925
5,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.83,0.8
5,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.97,0.975
6,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.47,0.595
6,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.81,0.61
6,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.81,0.51
6,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.785,0.78
6,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.86,0.76
6,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.76,0.675
6,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.895,0.92
6,64,1,1000000,200,1,0.95,LR,MLP,1,1800,0.785,0.875
6,64,1,1000000,200,1,0.95,LR,MLP,1,2000,0.915,0.935
6,64,1,1000000,200,1,0.95,LR,MLP,1,2200,0.89,0.605
6,64,1,1000000,200,1,0.95,LR,MLP,1,2400,0.96,0.97
7,64,1,1000000,200,1,0.95,LR,MLP,1,400,0.735,0.725
7,64,1,1000000,200,1,0.95,LR,MLP,1,600,0.82,0.56
7,64,1,1000000,200,1,0.95,LR,MLP,1,800,0.66,0.735
7,64,1,1000000,200,1,0.95,LR,MLP,1,1000,0.71,0.785
7,64,1,1000000,200,1,0.95,LR,MLP,1,1200,0.56,0.63
7,64,1,1000000,200,1,0.95,LR,MLP,1,1400,0.89,0.715
7,64,1,1000000,200,1,0.95,LR,MLP,1,1600,0.93,0.92
