seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.58,0.705
0,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.535,0.56
0,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.78,0.605
0,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.555,0.76
0,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.55,0.515
0,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.6,0.79
0,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.53,0.71
0,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.9,0.915
0,64,1,1000000,200,1,0.95,MLP,MLP,1,2000,0.75,0.86
0,64,1,1000000,200,1,0.95,MLP,MLP,1,2200,0.93,0.92
0,64,1,1000000,200,1,0.95,MLP,MLP,1,2400,0.645,0.98
1,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.685,0.65
1,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.745,0.7
1,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.73,0.61
1,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.69,0.54
1,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.495,0.65
1,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.83,0.88
1,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.595,0.875
1,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.63,0.95
2,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.675,0.615
2,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.49,0.8
2,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.475,0.81
2,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.655,0.775
2,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.645,0.49
2,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.525,0.69
2,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.77,0.935
2,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.91,0.91
2,64,1,1000000,200,1,0.95,MLP,MLP,1,2000,0.925,0.935
2,64,1,1000000,200,1,0.95,MLP,MLP,1,2200,0.89,0.905
2,64,1,1000000,200,1,0.95,MLP,MLP,1,2400,0.98,0.975
3,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.54,0.645
3,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.825,0.665
3,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.565,0.47
3,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.78,0.79
3,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.78,0.75
3,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.895,0.895
3,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.915,0.5
3,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.885,0.925
3,64,1,1000000,200,1,0.95,MLP,MLP,1,2000,0.905,0.48
3,64,1,1000000,200,1,0.95,MLP,MLP,1,2200,0.935,0.48
3,64,1,1000000,200,1,0.95,MLP,MLP,1,2400,0.965,0.965
4,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.465,0.675
4,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.645,0.425
4,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.525,0.67
4,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.555,0.525
4,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.795,0.75
4,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.785,0.715
4,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.755,0.485
4,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.95,0.935
4,64,1,1000000,200,1,0.95,MLP,MLP,1,2000,0.935,0.91
4,64,1,1000000,200,1,0.95,MLP,MLP,1,2200,0.915,0.46
4,64,1,1000000,200,1,0.95,MLP,MLP,1,2400,0.805,0.89
4,64,1,1000000,200,1,0.95,MLP,MLP,1,2600,0.51,0.955
5,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.505,0.69
5,64,1,1000000,200,1,0.95,MLP,MLP,1,600,0.48,0.535
5,64,1,1000000,200,1,0.95,MLP,MLP,1,800,0.515,0.795
5,64,1,1000000,200,1,0.95,MLP,MLP,1,1000,0.72,0.675
5,64,1,1000000,200,1,0.95,MLP,MLP,1,1200,0.815,0.795
5,64,1,1000000,200,1,0.95,MLP,MLP,1,1400,0.895,0.895
5,64,1,1000000,200,1,0.95,MLP,MLP,1,1600,0.91,0.67
5,64,1,1000000,200,1,0.95,MLP,MLP,1,1800,0.77,0.915
5,64,1,1000000,200,1,0.95,MLP,MLP,1,2000,0.71,0.805
5,64,1,1000000,200,1,0.95,MLP,MLP,1,2200,0.875,0.9
5,64,1,1000000,200,1,0.95,MLP,MLP,1,2400,0.955,0.95
6,64,1,1000000,200,1,0.95,MLP,MLP,1,400,0.62,0.675
